Key Word,Category,Color,Color_Name
input,Test,15594767,Dark_Yellow
,Section,595655,Dark_Blue
,Cell_Type,640809,Green
,Variable Type,6176262,Brown
,Special Value,13656004,Fuchsia
,General,14569542,Rorange
,Cell_Variable,7255282,Cyan
