what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850133633
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850141847
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850146793
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850148793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850150505
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850153922
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850156505
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850159086
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850165574
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850168649
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1568850237211
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850237772
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850239217
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850239776
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1568850240373
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850250420
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1568850250459
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850264485
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850269170
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850276096
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1568850277814
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850285232
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850290091
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850292964
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1568850303828
