Key Word,Category,Color,Color_Name
hostDownCell4,Host_Configuration,14569542,Rorange
enabled,Time_Of_Day_Group,14569542,Rorange
days,Time_Of_Day_Group,14569542,Rorange
hours,Time_Of_Day_Group,14569542,Rorange
timeZone,Time_Of_Day_Group,14569542,Rorange
startingDate,Time_Of_Day_Group,14569542,Rorange
endingDate,Time_Of_Day_Group,14569542,Rorange
resetInterval,Destination,14569542,Rorange
percent1,Destination,14569542,Rorange
percent2,Destination,14569542,Rorange
percent3,Destination,14569542,Rorange
percent4,Destination,14569542,Rorange
percent5,Destination,14569542,Rorange
percent6,Destination,14569542,Rorange
percent7,Destination,14569542,Rorange
percent8,Destination,14569542,Rorange
percent9,Destination,14569542,Rorange
percent10,Destination,14569542,Rorange
phone1,Destination,14569542,Rorange
phone2,Destination,14569542,Rorange
phone3,Destination,14569542,Rorange
phone4,Destination,14569542,Rorange
phone5,Destination,14569542,Rorange
phone6,Destination,14569542,Rorange
phone7,Destination,14569542,Rorange
phone8,Destination,14569542,Rorange
phone9,Destination,14569542,Rorange
phone10,Destination,14569542,Rorange
notThrottled,Throttle_Group,14569542,Rorange
idEnabled,Cell_Variable,7255282,Cyan
idLevel,Cell_Variable,7255282,Cyan
reportId,Cell_Variable,7255282,Cyan
nextCell,Cell_Variable,7255282,Cyan
menuCell,Cell_Variable,7255282,Cyan
disabledPrompt,Cell_Variable,7255282,Cyan
interruptable,Cell_Variable,7255282,Cyan
speakOnlyIfNotInterrupted,Cell_Variable,7255282,Cyan
flushDigits,Cell_Variable,7255282,Cyan
introEnabled,Cell_Variable,7255282,Cyan
introPrompt,Cell_Variable,7255282,Cyan
promptEnabled,Cell_Variable,7255282,Cyan
prompt,Cell_Variable,7255282,Cyan
dtmfChoicePrompt,Cell_Variable,7255282,Cyan
sivrChoicePrompt,Cell_Variable,7255282,Cyan
appendDigitPrompt,Cell_Variable,7255282,Cyan
prependDigitPrompt,Cell_Variable,7255282,Cyan
choiceType,Cell_Variable,7255282,Cyan
choiceValue,Cell_Variable,7255282,Cyan
considerInSection1,Cell_Variable,7255282,Cyan
considerAfterFinalSection,Cell_Variable,7255282,Cyan
validIfStopDigitPressed,Cell_Variable,7255282,Cyan
validIfStopDigitNotPressed,Cell_Variable,7255282,Cyan
sivrPrefixPrompt,Cell_Variable,7255282,Cyan
dtmfPrefixPrompt,Cell_Variable,7255282,Cyan
sivrSuffixPrompt,Cell_Variable,7255282,Cyan
dtmfSuffixPrompt,Cell_Variable,7255282,Cyan
suffixPrompt,Cell_Variable,7255282,Cyan
timeoutPrompt,Cell_Variable,7255282,Cyan
retryPrompt,Cell_Variable,7255282,Cyan
replaceRetryPrompt,Cell_Variable,7255282,Cyan
stopOnTimeout,Cell_Variable,7255282,Cyan
stopOnInvalid,Cell_Variable,7255282,Cyan
stopDigits,Cell_Variable,7255282,Cyan
stripStopDigits,Cell_Variable,7255282,Cyan
stopDigitsToStrip,Cell_Variable,7255282,Cyan
maxRetries,Cell_Variable,7255282,Cyan
timeout,Cell_Variable,7255282,Cyan
onInvalidTimeout,Cell_Variable,7255282,Cyan
onTimeoutTimeout,Cell_Variable,7255282,Cyan
replaceTimeoutPrompt,Cell_Variable,7255282,Cyan
replaceRetryPrompt,Cell_Variable,7255282,Cyan
selectionMethod,Cell_Variable,7255282,Cyan
speechRecVocabulary,Cell_Variable,7255282,Cyan
choiceLenMin,Cell_Variable,7255282,Cyan
choiceLenMax,Cell_Variable,7255282,Cyan
callerHangupCell,Cell_Variable,7255282,Cyan
outPortHangupCell,Cell_Variable,7255282,Cyan
out2PortHangupCell,Cell_Variable,7255282,Cyan
numberOfDigitsInSection1=,Cell_Variable,7255282,Cyan
validateFunctionForSection1,Cell_Variable,7255282,Cyan
sivrGrammar,Cell_Variable,7255282,Cyan
sivrBargeIn,Cell_Variable,7255282,Cyan
sivrParameters,Cell_Variable,7255282,Cyan
sivrRecordUtterance,Cell_Variable,7255282,Cyan
sivrResultFormat,Cell_Variable,7255282,Cyan
sivrMinConfidenceScore,Cell_Variable,7255282,Cyan
length,Cell_Variable,7255282,Cyan
minimum,Cell_Variable,7255282,Cyan
recordSilence,Cell_Variable,7255282,Cyan
startDigit,Cell_Variable,7255282,Cyan
stopDigit,Cell_Variable,7255282,Cyan
appendRecording,Cell_Variable,7255282,Cyan
recordFailureCell,Cell_Variable,7255282,Cyan
checkAniInMessageDb,Cell_Variable,7255282,Cyan
checkDnisInMessageDb,Cell_Variable,7255282,Cyan
checkDnisAndAniInMessageDb,Cell_Variable,7255282,Cyan
phoneNumber,Cell_Variable,7255282,Cyan
checkAniInOutdialDb,Cell_Variable,7255282,Cyan
checkDnisInOutdialDb,Cell_Variable,7255282,Cyan
checkDnisAndAniInOutdialDb,Cell_Variable,7255282,Cyan
infoDigits,Cell_Variable,7255282,Cyan
pseudoAni,Cell_Variable,7255282,Cyan
outdialRule,Cell_Variable,7255282,Cyan
outdialGroup,Cell_Variable,7255282,Cyan
usePseudoAni,Cell_Variable,7255282,Cyan
useInfodigits,Cell_Variable,7255282,Cyan
rnaTimeout,Cell_Variable,7255282,Cyan
outdialPort,Cell_Variable,7255282,Cyan
listenPorts,Cell_Variable,7255282,Cyan
conferencePorts,Cell_Variable,7255282,Cyan
musicPorts,Cell_Variable,7255282,Cyan
holdPorts,Cell_Variable,7255282,Cyan
bridgeOnAnswer,Cell_Variable,7255282,Cyan
holdOnAnswer,Cell_Variable,7255282,Cyan
bridgeOnFailure,Cell_Variable,7255282,Cyan
holdOnFailure,Cell_Variable,7255282,Cyan
listenOnOutHangup,Cell_Variable,7255282,Cyan
listenOnOut2Hangup,Cell_Variable,7255282,Cyan
answerCell,Cell_Variable,7255282,Cyan
busyCell,Cell_Variable,7255282,Cyan
rnaCell,Cell_Variable,7255282,Cyan
reorderCell,Cell_Variable,7255282,Cyan
sitCell,Cell_Variable,7255282,Cyan
dialErrorcell,Cell_Variable,7255282,Cyan
allTrunksBusyCell,Cell_Variable,7255282,Cyan
stopOutdialCell,Cell_Variable,7255282,Cyan
retryCount,Cell_Variable,7255282,Cyan
retryOnBusy,Cell_Variable,7255282,Cyan
retryOnRNA,Cell_Variable,7255282,Cyan
retryOnATB,Cell_Variable,7255282,Cyan
retryOnReorder,Cell_Variable,7255282,Cyan
retryOnSIT,Cell_Variable,7255282,Cyan
hearFullSitTone,Cell_Variable,7255282,Cyan
controlPort,Cell_Variable,7255282,Cyan
controlPortDigitTimeout,Cell_Variable,7255282,Cyan
controlPortFlushDigits,Cell_Variable,7255282,Cyan
outHangupOnDigits,Cell_Variable,7255282,Cyan
outStopOutdialOnDigits,Cell_Variable,7255282,Cyan
outHangupBridgeOnAnswer,Cell_Variable,7255282,Cyan
outHangupHoldOnAnswer,Cell_Variable,7255282,Cyan
outHangupBridgeOnFailure,Cell_Variable,7255282,Cyan
outHangupHoldOnFailure,Cell_Variable,7255282,Cyan
outHangupAnswerCell,Cell_Variable,7255282,Cyan
outHangupBusyCell,Cell_Variable,7255282,Cyan
outHangupRnaCell,Cell_Variable,7255282,Cyan
outHangupReorderCell,Cell_Variable,7255282,Cyan
outHangupSitCell,Cell_Variable,7255282,Cyan
outHangupDialErrorCell,Cell_Variable,7255282,Cyan
outHangupAllTrunksBusyCell,Cell_Variable,7255282,Cyan
out2HangupOnDigits,Cell_Variable,7255282,Cyan
out2StopOutdialOnDigits,Cell_Variable,7255282,Cyan
out2HangupBridgeOnAnswer,Cell_Variable,7255282,Cyan
